filename,transcription,language,processing_time_s,status_code,error
BFP-20250601-3.m4a,السلام عليكم بغيت نديك ليه على واحد المشكل وقع ليا فواحد الساعة درت الكارديشي ف la machine وكان تسمى تخرج ليا درت كلشي العملية كاتتم بسلاسة واحد الشوية هي دخلت كارديشي والفلوس ماكاينينش كانتسنى تخرج الفلوس فلوس ماكاينينش كاندخل ل l'application كانلقاه مامقطعته ليا تلاتالاف وربعمية درهم تلاتالاف وربعمية درهم ماشديتهاش وتحيدتوها ليهم مقطعتوهم كاين شي بلاغ على هاد المشكل هذا شنو هما العملية اللي غاندير باش,Arabic,109.31,200,
BFP-20250626-9.m4a,السلام عليكم اخويا كان جاتني واحد الفيرمو فيها واحد 270 درهم ولكن ما وصلاتنيش للكونط ديالي شكرا,Arabic,24.572,200,
BFP-20250630-56.m4a,السلام عليكم أنا صاحب واحد المبلغ من Alfa Life Bank فزاوية ادسمعيي منطقة الجديدة صاحب هاد المبلغ ولم أرقم المبلغ أتم صاحبهم يراسيدي شكرا,Arabic,32.27,200,
BFP-20250703-26.m4a,السلام عليكم أنا كنت درت recherche passe internet من l'application تجارية ولكن ما توصلت بنتي شي حاجة وفاش هضرت مع service clientèle ديال الاتصالات قالو لي بأن راه البروبليم كاين ف la banque وحنا ما توصلنا بنتي شي حاجة alors que c'est 100 درهم ت debitat من الكونط ديالي,Arabic,60.417,200,
BFP-20250703-88.m4a,السلام عليكم بالنسبة لك carte bancaire ديال وجدة دابا كنبغي نعمرها غير كنبغي نلقا فيها فلوس وتيديرو فيها سميتو المهم تيديرو البطاقة ما ما قادراش على الشاحن فهمتيني باقي ما ما فعلاش وحيتاش ماشي ماشي بزاف هادي باش قاديها,Arabic,53.81,200,
BFP-20250704-181.m4a,السلام عليكم المهم ريكلاماتي ولا عندي فهاد الكونط هذا كنت تيرييت من واحد الكيشي فالويزية ديال الشياش تيرييت منو 500 درهم خرجات ليا واحد تيكيطة بأن راه l'opération annuler à cause de distribution de biens المهم ماشي هي هادي وماخرجاتش ليا 500 درهم,Arabic,55.949,200,
BFP-20250709-73.m4a,السلام عليكم خديت des articles من مرجان من واحد البوتيط فمرجان ب 325 درهم وتقديت بالكارط Guichet دابا المونط تقطع جمعت راسها هي فاش دارت la carte خرجت ليها غير ticket وحدة عندي غير ticket وحدة 325 درهم وفالكونط ديالي مقطوعة مدوبلة مشيت عندهم لمرجان,Arabic,57.685,200,
BFP-20250710-159.m4a,سلام عليكم بغيت نعرف علاش غندير اقتطاعات بزاف كل مرة تيقطعو ليا بزاف مرة تقطعو ليا الف و 800 درهم سيمانة ليداز دابا عاود الف و 800 اخرى بلادك طناش بلادك داكشي كل مرة اقتطاع انا كانبغي نوجد فلوس الطناش وما دابا بديت جديدة كل مرة عندي اقتطاعات ماعرفتش شنو المشكل لي عندي شممكن نعرف المشكل,Arabic,99.327,200,
BFP-20250710-262.m4a,سلام، أنا كانحط الفلوس فالحساب ديالي ملي كانولي نقلب كانلقى الفلوس ناقصة، شنو هادشي هذا؟,Arabic,23.54,200,
BFP-20250711-139.m4a,السلام عليكم بالنسبة لـ trading و la mention قمت بسحب ديال واحد 2000 درهم من واحد البنك آخر اللي هو فالمدينة مظفرة ولكن ماخرجش ليا المبلغ تم قطع ديالو اليوم أنا اللي كنعرف اليوم قطع ديالو اليوم 10/20 2025 و l'opération دارت ف 22 شافت 25 و كنت كنرجع اليوم لأن,Arabic,57.271,200,
BFP-20250711-168.m4a,السلام عليكم، كيفكم بخير؟ أهلا بكم، لقيت عندي واحد أوبيراسيون د البارح ديال ألفين درهم، وأنا عندي غير خمسة مية درهم صافي، ألفين درهم ماعنديش البارح,Arabic,28.886,200,
BFP-20250714-317.m4a,السلام عليكم بغيت نقدم واحد الشكوى عندي دابا كنبغي ندير إضافة إضافة شخصيتي فلوس مثلا لابليكاسيون ماكانو غير شي تضافر ليا ماعرفتش علاش,Arabic,31.821,200,
BFP-20250815-289.m4a,السلام عليكم عاد طلع عندي واحد المشكل راه تيري دابا واحد 800 درهم من الكيشي ديال البنكة الشعبية فأكدال ما كناش وتنكطات ليا من الكونط وما خرجات لي سيبلاس وقيت تنستنى تنستنى تنستنى تخرجات لي la carte وليت عاوتاني دزت la carte مرة خرة قالو ليا الرصيد غير كافيش دزت لابليكاسيون دزت تنستنى تنستنى تنستنى,Arabic,75.905,200,
BFP-20251201-113.wav,السلام عليكم عافاك راه دارت واحد لوبيراسيون فخمسة فشهر عشرة دايرة 500 درهم ديك اللي كتمشي كديرها Cash Express كتيرا ف... فالكيشية صيفطات لواحد السيدة وماطيراتهاش ودابا راه ما طلعاتش ليا كاع واش رجعات ليا الكونط ولا ما رجعاتش بغيت نعرف اشنو كاين فين وصلات ديك 500 درهم الله يرحم الوالدين جابونا عافاك,Arabic,74.202,200,
BFP-20251203-206.m4a,السلام عليكم واحد الفولد مابغاش يتقاطع عليه sur l'application راه مايرانيش même فين دخلت les informations هما هادوك والكود de verification تا هو دخلتو فالكونط ديالي البنكة ليك مابغاش يدوز جوج مرات وكنت دخلت المعلومات كانصححهم راه مابغاش يدوز sachez que يلاه قبل شوية داز ليا الفولد اللول الفولد اللول تقطع ولكن deux vols لي موراه مابغاش يتقاطعو,Arabic,81.924,200,
BFP-20251204-265.m4a,سي سيدات و سادين bonjour المهم انا فاش قلناها الريفان ديالي est en cours de traitement sorry I'm making some languages but المهم غير بغيت نعرف اشنو la durée اللي غاتاخد باش توصنيو les fonds ديالي يلا كان possible Merci beaucoup,Arabic,42.145,200,
BFP-20251206-98.m4a,السلام عليكم خويا بخير عليا خويا عندي واحد المشكل بغيت نصيفط شي فلوس لواحد السيد وفاش كنزيدو عندي فقالي ماديرش المستفيد كنخل منو معلومات صحاح وكولشي ولكن فاش كنبغي نأكد ماكايبغيش ماعرفتش المشكل منيناش كتكتب الدخلات ديالو وسمي وطنيا وكونش صحيح ولكن فاش كنجي نشوف شكون vraiment باغي يفوت المال,Arabic,72.135,200,
BFP-20251209-350.m4a,السلام عليكم كنت لقيت انه تنقصات ليا 55 درهم جهرين متابعة من الكونط ديالي وماعرفتش السورس منين وعلاش وبغيت نعرف علاش تقطعات ليا,Arabic,33.408,200,
BFP-20251210-99.m4a,السلام عليكم، أخويا، وجدت شي فيلم وفي هاد الصباح أخاي، إيه إيه، شي واحد قال لي غا دوز فيلم، را كنت سمعت، ماعرفتش كيفاش، سمعت شوية، يلاه حفظكم الله، حيت ماشفتش والو,Arabic,41.817,200,
BFP-20251212-129.m4a,السلام عليكم هاكاك عندي 116 درهم باش نبغي نخرج نخلص بيها شي حاجة بلا carte ولا تنبغي نشارجي بيها الروشان تيقولو ليا votre solde insuffisant هاكاك شوفو ليا زعما شنو هو الحل,Arabic,34.12,200,
BFP-20251212-50.m4a,,,120.019,0,Request failed: timed out
BFP-20251224-16.m4a,,,120.054,0,Request failed: timed out
BFP-20260212-275.m4a,,,120.027,0,Request failed: timed out
BFP-20260217-279.m4a,السلام عليكم دابا اكثر من جوج اسابيع وانا الخدمة ديالي واقفة ودابا مازال مبلونكليا عليا هاديك ديال paiement internet a l'étranger ماعرفتش شنو غادي ندير راني تاصلت ومشيت للوكالة ماخليت ما درت لحد الان ما كاين حتى شي جواب نتمنى نجاوبوني فاق راه بقيت تحيدو ليا هاد المشكل,Arabic,96.075,200,
BFP-20260225-181.m4a,,,120.007,0,Request failed: timed out
BFP-20260227-296.m4a,,,120.023,0,Request failed: timed out
BFP-20260301-20.wav,,,120.016,0,Request failed: timed out
BFP-20260302-187.wav,,,120.015,0,Request failed: timed out
BFP-20260302-36.m4a,السلام عليكم ورحمة الله وبركاته عندي واحد المشكل ديال الدفع فبغيت ندير مثلا مانشري شي حاجة من الأنترنت بحال Play Store ولا ولا بغيت نوري حسابي ف Facebook ولا ف Instagram ولا بغيت نشري شي Queens شي لعبة ولا شي حاجة,Arabic,75.587,200,
BFP-20260313-108.m4a,السلام عليكم بديت شوية ضد المدير ديال عينات وجدات فالبنكة مشيت لعندهم أنا حسب واحد الاقتراح كنتمنى يعطيني غير مبرر لشي قطعة اللي كاين وبقيتي تدخل وتخرج معايا فالهضرة وشوية ماعطاني تا شي مبرر على داك القطعة اللي عندي ومن بعد المهم كنحاول ماعطيني غير شي حاجة هادا تيلي قالك سيري لبنكة أخرى فيمكنك تمشي لشي بنكة أخرى من غير بنكة بحال اللي كيجري عليا أنا,Arabic,83.182,200,
BFP-20260317-21.m4a,عندي مشكل في ... رضا قربة مكلية ... وأنا ... وكذا ... في مدينة ... وأنا ... موجود في مدينة ... وعندي مشكل في ...,Arabic,24.931,200,
BFP-20260324-139.m4a,السلام عليكم بغيت نسول واحد الفيرمو كان شي دوزت ولواحد السيد عندي من تجاري فهاد الحساب دوزت ولواحد السيد السي عاش بغيت نسول ما السيد دابا مادازتش ليا الفيرمو بغيت نعرف ليك الفيرمو فين كون بياس,Arabic,42.715,200,
BFP-20260325-249.m4a,السلام عليكم الله يجازيك بخير بغيت نكمل الشكية ديالي مع الموجب علي وليد صيفط ليا خاصك صيفط ليا المبلغ ديال الرقم اللي مش عليك من الكونط المبلغ هو 1450 درهم مع العجرة ونص العجرة وربع وعشرين ديال الصباح ليوما هاد المبلغ مشا ليا أنا مادرت حتى شي drone صفير مادرت حتى شي حاجة فتيليفوني وتفاجأت منين مشيت لبيت نتيني من la banque من الكيشي لقيت,Arabic,81.106,200,
BFP-20260327-117.wav,السلام عليكم ورحمة الله الله يجازيكم بخير غانمشي نريكيبيري la carte grise ديالي ف l'agence اللي ديجا درت أنني غاناخدها كيما لقيتها دابا راه un mois دابا باش ديجا نلونصاو ليا راه la carte grise كاينة voilà دابا مشيت وما لقيتهاش,Arabic,61.662,200,
BFP-20260327-75.wav,ça va quand on a laissé le jeton toujours sur retour c'est un modèle préféré ديال 300 dirhams le 6 mars ça me rend compte à savoir اللي مشيت plusieurs fois ل l'agence حتى هما دارو réclamation ولكن toujours sur retour وصافي دابا على 3 15 jours مابقاش le retour bizarre,Arabic,67.221,200,
BFP-20260402-275.wav,يعني متكرف la cache نتا بين ما شريتي شي حاجة من لابليكاسيون ماكاتدوزش عرفتي شنو هو المشكل,Arabic,27.045,200,
